id,entity,entity_type,original_label
10.1101/2025.10.11.681833,hydrogen bond donor,Drug,CHEMICAL
10.1101/2025.10.11.681833,once-daily,Drug,CHEMICAL
10.1101/2025.10.13.682008,uridine,Drug,CHEMICAL
10.1101/2025.10.13.682008,ARCA,Disease,DISEASE
10.1101/2025.10.13.682101,PASC,Drug,CHEMICAL
10.1101/2025.10.13.682101,infection,Disease,DISEASE
10.1101/2025.10.13.682101,infected with SARS-CoV-2 and viral,Disease,DISEASE
10.1101/2025.10.13.682101,neurocognitive and behavioral impairments,Disease,DISEASE
10.1101/2025.10.13.682101,neuroinflammation,Disease,DISEASE
10.1101/2025.10.13.682101,inflammation,Disease,DISEASE
10.1101/2025.10.13.682101,chronic disease,Disease,DISEASE
10.1101/2025.10.13.682000,respiratory disease,Disease,DISEASE
10.1101/2025.10.13.682000,infection,Disease,DISEASE
10.1101/2025.10.13.682000,COVID-19 disease,Disease,DISEASE
10.1101/2025.10.13.682000,anti-CD44,Drug,CHEMICAL
10.1101/2025.10.13.682000,weight loss,Disease,DISEASE
10.1101/2025.10.13.682000,pulmonary infection,Disease,DISEASE
10.1101/2025.10.13.681985,mucormycosis,Disease,DISEASE
10.1101/2025.10.13.681985,diabetes,Disease,DISEASE
10.1101/2025.10.13.681985,zinc,Drug,CHEMICAL
10.1101/2025.10.13.681985,Rhizopus arrhizus,Disease,DISEASE
10.1101/2025.10.13.681985,hydrogen peroxide,Drug,CHEMICAL
10.1101/2025.10.13.681985,sodium chloride,Drug,CHEMICAL
10.1101/2025.10.13.681985,amphotericin B,Drug,CHEMICAL
10.1101/2025.10.13.681985,posaconazole,Drug,CHEMICAL
10.1101/2025.10.13.681985,ergosterol,Drug,CHEMICAL
10.1101/2025.10.13.681985,chitosan,Drug,CHEMICAL
10.1101/2025.10.13.681985,iron,Drug,CHEMICAL
10.1101/2025.10.13.681985,Candida albicans,Disease,DISEASE
10.1101/2025.10.13.681985,fungal infection,Disease,DISEASE
10.1101/2025.10.09.680815,coronavirus infection,Disease,DISEASE
10.1101/2025.10.09.680815,infection,Disease,DISEASE
10.1101/2025.10.09.681330,ATAC,Drug,CHEMICAL
10.1101/2025.10.09.681417,Respiratory infectious diseases,Disease,DISEASE
10.1101/2025.10.09.681417,upper respiratory tract,Disease,DISEASE
10.1101/2025.10.09.681417,infection,Disease,DISEASE
10.1101/2025.10.09.681417,respiratory disease,Disease,DISEASE
10.1101/2025.10.07.25337492,infection,Disease,DISEASE
10.1101/2025.10.07.25337492,Ankara-(MVA)-SARS-2-ST,Drug,CHEMICAL
10.1101/2025.10.07.25337492,140,Drug,CHEMICAL
10.1101/2025.10.07.25337492,methacholine,Drug,CHEMICAL
10.1101/2025.10.07.25337492,cough,Disease,DISEASE
10.1101/2025.10.07.25337492,headache,Disease,DISEASE
10.1101/2025.10.07.25337492,fatigue,Disease,DISEASE
10.1101/2025.10.07.25337497,cancer,Disease,DISEASE
10.1101/2025.10.07.25337497,HPV-associated cancer,Disease,DISEASE
10.1101/2025.10.07.25337497,ResultsOverall,Disease,DISEASE
10.1101/2025.10.07.25337449,PD,Disease,DISEASE
10.1101/2025.10.07.25337449,"nirmatrelvir, and molnupiravir",Disease,DISEASE
10.1101/2025.10.07.25337449,toxicities,Disease,DISEASE
10.1101/2025.10.07.25337449,PK,Drug,CHEMICAL
10.1101/2025.09.30.679586,Respiratory Syndrome,Disease,DISEASE
10.1101/2025.09.30.679586,coronavirus disease 2019,Disease,DISEASE
10.1101/2025.09.30.679586,{Delta}3a7b-Nluc,Drug,CHEMICAL
10.1101/2025.09.30.679586,"nirmatrelvir or remdesivir, suggesting the feasibility of treating",Disease,DISEASE
10.1101/2025.09.30.679586,infections,Disease,DISEASE
10.1101/2025.09.30.679586,nirmatrelvir) and RdRp (remdesivir) inhibitors.,Disease,DISEASE
10.1101/2025.10.05.25337392,COVID-19 disease activity,Disease,DISEASE
10.1101/2025.10.05.25337392,LTLAs,Drug,CHEMICAL
10.1101/2025.10.05.25337392,infectious diseases,Disease,DISEASE
10.1101/2025.10.02.25337223,nontuberculous mycobacterial,Disease,DISEASE
10.1101/2025.10.02.25337223,NTM,Drug,CHEMICAL
10.1101/2025.10.02.25337223,infection,Disease,DISEASE
10.1101/2025.10.02.25337223,NTM-associated diseases,Disease,DISEASE
10.1101/2025.10.02.25337223,Mycobacterium avium,Drug,CHEMICAL
10.1101/2025.10.02.25337223,avium,Disease,DISEASE
10.1101/2025.10.02.25337223,terrae,Disease,DISEASE
10.1101/2025.10.03.679858,infection,Disease,DISEASE
10.1101/2025.10.03.680419,CoVs,Disease,DISEASE
10.1101/2025.10.03.680419,nucleotide,Drug,CHEMICAL
10.1101/2025.10.03.680220,SARS,Disease,DISEASE
10.1101/2025.09.27.25336412,Respiratory Syndrome,Disease,DISEASE
10.1101/2025.09.27.25336412,SARS,Disease,DISEASE
10.1101/2025.09.27.25336412,infection,Disease,DISEASE
