source,target,source_type,target_type,relation,confidence,sentence,doi
infection,LOC SARS-CoV-2 infection,Disease,Disease,associated_with,0.8695652173913044,"Finally, we evaluated the application of the LOC SARS-CoV-2 infection model for efficacy testing and demonstrated the antiviral effect of remdesivir.",10.1101/2025.10.17.683096
infection,viral infections,Disease,Disease,associated_with,0.9433962264150942,Tetramer staining of human PBMCs enriched CD4 T memory populations from healthy adult subjects highlighting this approach as a sensitive and specific method of identifying novel epitopes and subsequen,10.1101/2025.10.16.682991
trametinib,sorafenib,Drug,Drug,associated_with,0.8695652173913044,"We identified four host-directed drugs, donepezil, dH-ergocristine, trametinib and sorafenib, that could potentially be repurposed to treat coronavirus infections.",10.1101/2025.10.15.682635
trametinib,coronavirus infections,Drug,Disease,treats,0.5813953488372093,"We identified four host-directed drugs, donepezil, dH-ergocristine, trametinib and sorafenib, that could potentially be repurposed to treat coronavirus infections.",10.1101/2025.10.15.682635
sorafenib,coronavirus infections,Drug,Disease,treats,0.6369426751592357,"We identified four host-directed drugs, donepezil, dH-ergocristine, trametinib and sorafenib, that could potentially be repurposed to treat coronavirus infections.",10.1101/2025.10.15.682635
Tyrosine,pan-coronaviruses infection,Drug,Disease,associated_with,0.6493506493506493,"Here, we performed a genome-wide CRISPRi screening to identify the host protein, Hepatocyte Growth Factor-Regulated Tyrosine Kinase Substrate (HGS), as essential for the pan-coronaviruses infection bo",10.1101/2025.10.17.683077
riboflavin tetrabutyrate,RTB,Drug,Drug,associated_with,0.7936507936507936,"Leveraging this interaction, we designed M-derived peptides and screened over 5,000 FDA-approved drugs, identifying riboflavin tetrabutyrate (RTB).",10.1101/2025.10.17.683077
nilotinib,tecovirimat,Drug,Drug,associated_with,0.4716981132075471,One top-ranked drug nilotinib is experimentally shown to have a significant 69% of antiviral efficacy of the FDA-approved antiviral tecovirimat (TPOXX(R) or ST-246).,10.1101/2025.10.12.681938
nilotinib,ST-246,Drug,Drug,associated_with,0.42194092827004215,One top-ranked drug nilotinib is experimentally shown to have a significant 69% of antiviral efficacy of the FDA-approved antiviral tecovirimat (TPOXX(R) or ST-246).,10.1101/2025.10.12.681938
tecovirimat,ST-246,Drug,Drug,associated_with,0.8,One top-ranked drug nilotinib is experimentally shown to have a significant 69% of antiviral efficacy of the FDA-approved antiviral tecovirimat (TPOXX(R) or ST-246).,10.1101/2025.10.12.681938
urea,hydrogen bond donor,Drug,Drug,associated_with,0.8064516129032259,"Multiple strategies were pursued to overcome these issues, including replacing a urea function to reduce hydrogen bond donor count.",10.1101/2025.10.11.681833
SARS-CoV-2 infection,once-daily,Disease,Drug,treated_by,0.6622516556291391,"Thus, AVI-6451 (4) is a potent Mac1 inhibitor lead with low intrinsic clearance, high oral bioavailability, and antiviral efficacy with once-daily oral administration in a mouse model of SARS-CoV-2 in",10.1101/2025.10.11.681833
uridine,ARCA,Drug,Disease,associated_with,0.6993006993006994,We examined different combinations of linear vectors: containing either N1-methylpseudouridines or uridine and capped with either ARCA (m7G(5')ppp(5')G) or CleanCap (m7G(5')ppp(5')m2G).,10.1101/2025.10.13.682008
PASC,infection,Drug,Disease,associated_with,0.7633587786259541,"While males are more likely to suffer severe outcomes during acute COVID-19, a greater proportion of females develop post-acute sequalae of COVID-19 (PASC) despite similar rates of infection.",10.1101/2025.10.13.682101
PASC,infected with SARS-CoV-2 and viral,Drug,Disease,associated_with,0.8620689655172414,"To identify mechanisms of PASC, mice were infected with SARS-CoV-2 and viral, inflammatory, and behavioral outcomes were evaluated through 84 days post infection.",10.1101/2025.10.13.682101
infection,infected with SARS-CoV-2 and viral,Disease,Disease,associated_with,0.47619047619047616,"To identify mechanisms of PASC, mice were infected with SARS-CoV-2 and viral, inflammatory, and behavioral outcomes were evaluated through 84 days post infection.",10.1101/2025.10.13.682101
infection,neurocognitive and behavioral impairments,Disease,Disease,associated_with,0.6944444444444444,"Following recovery from infection, female mice exhibited persistent neurocognitive and behavioral impairments, along with greater frequencies of inflammatory myeloid subsets, neuroinflammation, and dy",10.1101/2025.10.13.682101
infection,neuroinflammation,Disease,Disease,associated_with,0.39840637450199207,"Following recovery from infection, female mice exhibited persistent neurocognitive and behavioral impairments, along with greater frequencies of inflammatory myeloid subsets, neuroinflammation, and dy",10.1101/2025.10.13.682101
infection,inflammation,Disease,Disease,associated_with,0.390625,"Following recovery from infection, female mice exhibited persistent neurocognitive and behavioral impairments, along with greater frequencies of inflammatory myeloid subsets, neuroinflammation, and dy",10.1101/2025.10.13.682101
neurocognitive and behavioral impairments,neuroinflammation,Disease,Disease,associated_with,0.48309178743961345,"Following recovery from infection, female mice exhibited persistent neurocognitive and behavioral impairments, along with greater frequencies of inflammatory myeloid subsets, neuroinflammation, and dy",10.1101/2025.10.13.682101
neurocognitive and behavioral impairments,inflammation,Disease,Disease,associated_with,0.4716981132075471,"Following recovery from infection, female mice exhibited persistent neurocognitive and behavioral impairments, along with greater frequencies of inflammatory myeloid subsets, neuroinflammation, and dy",10.1101/2025.10.13.682101
neuroinflammation,inflammation,Disease,Disease,associated_with,0.9523809523809523,"Following recovery from infection, female mice exhibited persistent neurocognitive and behavioral impairments, along with greater frequencies of inflammatory myeloid subsets, neuroinflammation, and dy",10.1101/2025.10.13.682101
PASC,inflammation,Drug,Disease,associated_with,0.6896551724137931,Sex differences in inflammation and cognitive phenotypes during PASC were mediated by the presence of two X chromosomes.,10.1101/2025.10.13.682101
PASC,neuroinflammation,Drug,Disease,associated_with,0.819672131147541,XX animals independent of chromosome Y presented with neuroinflammation and PASC along with infection-induced upregulation of the X-linked genes Xist and Tlr7 that regulate inflammation and chronic di,10.1101/2025.10.13.682101
PASC,chronic disease,Drug,Disease,associated_with,0.4672897196261683,XX animals independent of chromosome Y presented with neuroinflammation and PASC along with infection-induced upregulation of the X-linked genes Xist and Tlr7 that regulate inflammation and chronic di,10.1101/2025.10.13.682101
infection,neuroinflammation,Disease,Disease,causes,0.7246376811594204,XX animals independent of chromosome Y presented with neuroinflammation and PASC along with infection-induced upregulation of the X-linked genes Xist and Tlr7 that regulate inflammation and chronic di,10.1101/2025.10.13.682101
infection,inflammation,Disease,Disease,causes,0.7518796992481203,XX animals independent of chromosome Y presented with neuroinflammation and PASC along with infection-induced upregulation of the X-linked genes Xist and Tlr7 that regulate inflammation and chronic di,10.1101/2025.10.13.682101
infection,chronic disease,Disease,Disease,causes,0.5050505050505051,XX animals independent of chromosome Y presented with neuroinflammation and PASC along with infection-induced upregulation of the X-linked genes Xist and Tlr7 that regulate inflammation and chronic di,10.1101/2025.10.13.682101
neuroinflammation,inflammation,Disease,Disease,causes,0.9523809523809523,XX animals independent of chromosome Y presented with neuroinflammation and PASC along with infection-induced upregulation of the X-linked genes Xist and Tlr7 that regulate inflammation and chronic di,10.1101/2025.10.13.682101
neuroinflammation,chronic disease,Disease,Disease,causes,0.42372881355932196,XX animals independent of chromosome Y presented with neuroinflammation and PASC along with infection-induced upregulation of the X-linked genes Xist and Tlr7 that regulate inflammation and chronic di,10.1101/2025.10.13.682101
inflammation,chronic disease,Disease,Disease,causes,0.4329004329004329,XX animals independent of chromosome Y presented with neuroinflammation and PASC along with infection-induced upregulation of the X-linked genes Xist and Tlr7 that regulate inflammation and chronic di,10.1101/2025.10.13.682101
infection,anti-CD44,Disease,Drug,treated_by,0.4166666666666667,"Here, we report that in mice infected with a mouse-adapted strain of SARS-CoV-2, treatment with a combination of two anti-CD44 monoclonal antibodies confers a significant survival benefit and reduces ",10.1101/2025.10.13.682000
infection,weight loss,Disease,Disease,associated_with,0.6369426751592357,"Here, we report that in mice infected with a mouse-adapted strain of SARS-CoV-2, treatment with a combination of two anti-CD44 monoclonal antibodies confers a significant survival benefit and reduces ",10.1101/2025.10.13.682000
anti-CD44,weight loss,Drug,Disease,treats,0.5464480874316939,"Here, we report that in mice infected with a mouse-adapted strain of SARS-CoV-2, treatment with a combination of two anti-CD44 monoclonal antibodies confers a significant survival benefit and reduces ",10.1101/2025.10.13.682000
infection,pulmonary infection,Disease,Disease,associated_with,0.9090909090909091,Our findings demonstrate that disruption of HA-receptor interactions is a way to prevent inflammatory pathology in pulmonary infection.,10.1101/2025.10.13.682000
mucormycosis,diabetes,Disease,Disease,causes,0.5181347150259067,"During COVID-19 pandemic, the cases of mucormycosis increased substantially, with rhino-orbito-cerebral form linked to uncontrolled diabetes being the predominant manifestation.",10.1101/2025.10.13.681985
mucormycosis,zinc,Disease,Drug,associated_with,0.625,"Some clinical and epidemiological studies associated the usage of zinc supplements with the occurrence of COVID-19 associated mucormycosis, but experimental evidence remains limited.",10.1101/2025.10.13.681985
mucormycosis,Rhizopus arrhizus,Disease,Disease,associated_with,0.6493506493506493,"This study aimed to elucidate the impact of zinc enrichment on Rhizopus arrhizus, the predominant causative agent of mucormycosis.",10.1101/2025.10.13.681985
zinc,Rhizopus arrhizus,Drug,Disease,associated_with,0.8403361344537815,"This study aimed to elucidate the impact of zinc enrichment on Rhizopus arrhizus, the predominant causative agent of mucormycosis.",10.1101/2025.10.13.681985
zinc,hydrogen peroxide,Drug,Drug,associated_with,0.3663003663003663,"The effect of zinc supplementation (5 to 150 {micro}M) on fungal growth, metabolic activity, antifungal susceptibility and biofilm formation, along with cell-wall (Congo red), oxidative (hydrogen pero",10.1101/2025.10.13.681985
zinc,sodium chloride,Drug,Drug,associated_with,0.3278688524590164,"The effect of zinc supplementation (5 to 150 {micro}M) on fungal growth, metabolic activity, antifungal susceptibility and biofilm formation, along with cell-wall (Congo red), oxidative (hydrogen pero",10.1101/2025.10.13.681985
hydrogen peroxide,sodium chloride,Drug,Drug,associated_with,0.7575757575757576,"The effect of zinc supplementation (5 to 150 {micro}M) on fungal growth, metabolic activity, antifungal susceptibility and biofilm formation, along with cell-wall (Congo red), oxidative (hydrogen pero",10.1101/2025.10.13.681985
amphotericin B,posaconazole,Drug,Drug,associated_with,0.8403361344537815,Susceptibility to amphotericin B and posaconazole was unchanged.,10.1101/2025.10.13.681985
ergosterol,chitosan,Drug,Drug,associated_with,0.8,"Zinc-supplemented cultures over-expressed multiple genes, notably those associated with respiratory electron transport chain, ergosterol biosynthesis, chitosan production, oxidative stress response, m",10.1101/2025.10.13.681985
ergosterol,iron,Drug,Drug,associated_with,0.5050505050505051,"Zinc-supplemented cultures over-expressed multiple genes, notably those associated with respiratory electron transport chain, ergosterol biosynthesis, chitosan production, oxidative stress response, m",10.1101/2025.10.13.681985
chitosan,iron,Drug,Drug,associated_with,0.5780346820809249,"Zinc-supplemented cultures over-expressed multiple genes, notably those associated with respiratory electron transport chain, ergosterol biosynthesis, chitosan production, oxidative stress response, m",10.1101/2025.10.13.681985
zinc,iron,Drug,Drug,associated_with,0.37593984962406013,"The work demonstrates that zinc supplementation supports Rhizopus arrhizus growth, metabolism and stress response, and enhances the expression of key virulence factors, including mucoricin and iron tr",10.1101/2025.10.13.681985
Rhizopus arrhizus,iron,Disease,Drug,associated_with,0.42372881355932196,"The work demonstrates that zinc supplementation supports Rhizopus arrhizus growth, metabolism and stress response, and enhances the expression of key virulence factors, including mucoricin and iron tr",10.1101/2025.10.13.681985
coronavirus infection,infection,Disease,Disease,associated_with,0.8928571428571428,"Here, we report that coronavirus infection causes cytoplasmic poly(A)-binding protein (PABPC) activity to become limiting, which preferentially destabilizes short-tailed host mRNAs, occurring before t",10.1101/2025.10.09.680815
upper respiratory tract,infection,Disease,Disease,associated_with,0.47619047619047616,"The upper respiratory tract (URT) represents the primary access point for respiratory viruses, where initial host infection occurs.",10.1101/2025.10.09.681417
infection,respiratory disease,Disease,Disease,associated_with,0.6666666666666666,"However, vaccines against respiratory viruses predominantly have systemic administration routes that elicit strong responses in the circulation to prevent severe respiratory disease, but do not effect",10.1101/2025.10.09.681417
cough,headache,Disease,Disease,associated_with,0.9345794392523364,"Over 28 days, mild or moderate adverse events occurred in 87% of participants, predominantly cough, headache, and fatigue, all resolved.",10.1101/2025.10.07.25337492
cough,fatigue,Disease,Disease,associated_with,0.8264462809917356,"Over 28 days, mild or moderate adverse events occurred in 87% of participants, predominantly cough, headache, and fatigue, all resolved.",10.1101/2025.10.07.25337492
headache,fatigue,Disease,Disease,associated_with,0.8771929824561403,"Over 28 days, mild or moderate adverse events occurred in 87% of participants, predominantly cough, headache, and fatigue, all resolved.",10.1101/2025.10.07.25337492
cancer,HPV-associated cancer,Disease,Disease,associated_with,0.8695652173913044,"Focusing on Iowa, a state with the fastest rising incidence of HPV-associated cancer, we evaluated if county-level COVID-19 vaccination rates corresponded to county-level changes in rural-urban HPV va",10.1101/2025.10.07.25337497
PD,PK,Disease,Drug,associated_with,0.7874015748031495,"Participants were monitored for 43 weeks to evaluate safety, pharmacokinetics (PK), and pharmacodynamics (PD; serum live virus neutralization).",10.1101/2025.10.07.25337449
Respiratory Syndrome,coronavirus disease 2019,Disease,Disease,associated_with,0.53475935828877,Ensitrelvir is an antiviral drug that specifically targets the main protease (Mpro) of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) has been approved for the treatment of coronavirus d,10.1101/2025.09.30.679586
"nirmatrelvir or remdesivir, suggesting the feasibility of treating",infections,Disease,Disease,associated_with,0.5988023952095809,"Positively, G23del in Mpro does not render SARS-CoV-2 resistant to nirmatrelvir or remdesivir, suggesting the feasibility of treating infections with SARS-CoV-2 containing G23del with these other appr",10.1101/2025.09.30.679586
nontuberculous mycobacterial,NTM,Disease,Drug,associated_with,0.7692307692307692,"BackgroundThe incidence of nontuberculous mycobacterial (NTM) diseases is increasing globally, with risk factors remaining poorly understood.",10.1101/2025.10.02.25337223
NTM,infection,Drug,Disease,associated_with,0.8264462809917356,COVID-19 may alter respiratory tract conditions affecting NTM colonization and infection patterns.,10.1101/2025.10.02.25337223
NTM,NTM-associated diseases,Drug,Disease,associated_with,0.7575757575757576,ObjectiveTo evaluate species diversity of NTM isolated from patients with NTM-associated diseases with and without a history of COVID-19.,10.1101/2025.10.02.25337223
Mycobacterium avium,avium,Drug,Disease,associated_with,0.8771929824561403,"COVID-19 was associated with a significant 28% reduction in Mycobacterium avium complex (MAC) prevalence (94.8% vs 66.8%, p<0.05), primarily due to decreased M. avium isolation (80.3% vs 52.0%, p<0.05",10.1101/2025.10.02.25337223
NTM,terrae,Drug,Disease,associated_with,0.4807692307692307,"Conversely, rare NTM species showed increased prevalence in COVID-19+ patients: M. kansasii complex (0% vs 8.1%, p<0.05), M. terrae complex (0% vs 3.3%, p<0.05), M. simiae complex (0.5% vs 7.0%, p<0.0",10.1101/2025.10.02.25337223
Respiratory Syndrome,SARS,Disease,Disease,associated_with,0.7352941176470589,BackgroundThe Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) has continued to be a global health threat despite many interventions put with new variants noticed.,10.1101/2025.09.27.25336412
